Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,18.48642635345459,1,1,14
adult,111,0,EfficientBFS,injection,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,18.87127161026001,1,1,14
adult,111,0,EfficientBFS,probing,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,18.657453536987305,1,1,14
adult,111,0,EfficientBFS,traditional,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,18.638253927230835,1,1,14
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,18.801579475402832,1,1,14
adult,111,0,EfficientBFS,density_gap,False,ub2,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,18.439123392105103,1,1,15
adult,111,0,EfficientBFS,injection,False,ub2,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,18.731424570083618,1,1,15
adult,111,0,EfficientBFS,probing,False,ub2,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,18.757177352905273,1,1,15
adult,111,0,EfficientBFS,traditional,False,ub2,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,18.3996479511261,1,1,15
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,18.017229318618774,1,1,15
adult,111,0,EfficientBFS,density_gap,False,ub2,d,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,19.3884060382843,1,1,16
adult,111,0,EfficientBFS,injection,False,ub2,d,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.945862293243408,1,1,16
adult,111,0,EfficientBFS,probing,False,ub2,d,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.933253288269043,1,1,16
adult,111,0,EfficientBFS,traditional,False,ub2,d,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.917461156845093,1,1,16
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.714184045791626,1,1,16
adult,111,0,EfficientBFS,density_gap,False,ub2,d,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.752753496170044,1,1,16
adult,111,0,EfficientBFS,injection,False,ub2,d,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.63302516937256,1,1,16
adult,111,0,EfficientBFS,probing,False,ub2,d,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,19.10785698890686,1,1,16
adult,111,0,EfficientBFS,traditional,False,ub2,d,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,19.614741325378418,1,1,16
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.77523159980774,1,1,16
adult,111,0,EfficientBFS,density_gap,False,ub2,d,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,18.45435380935669,1,1,17
adult,111,0,EfficientBFS,injection,False,ub2,d,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,19.144482612609863,1,1,17
adult,111,0,EfficientBFS,probing,False,ub2,d,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,18.179266691207886,1,1,17
adult,111,0,EfficientBFS,traditional,False,ub2,d,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,18.77383303642273,1,1,17
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,18.134177923202515,1,1,17
adult,111,0,EfficientBFS,density_gap,False,ub2,d,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,19.539946794509888,1,1,18
adult,111,0,EfficientBFS,injection,False,ub2,d,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,19.156352281570435,1,1,18
adult,111,0,EfficientBFS,probing,False,ub2,d,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,18.906481742858887,1,1,18
adult,111,0,EfficientBFS,traditional,False,ub2,d,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,18.785953283309937,1,1,18
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,18.89406394958496,1,1,18
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,6.0,0.95,CalTechMaximization,334.6860300087528,5.80060697008937,139.01916193962097,1,1,5
caltech,767,0,EfficientBFS,injection,False,ub2,d,6.0,0.95,CalTechMaximization,334.6860300087528,5.80060697008937,125.11013579368591,1,1,5
caltech,767,0,EfficientBFS,probing,False,ub2,d,6.0,0.95,CalTechMaximization,334.6860300087528,5.80060697008937,124.41101217269897,1,1,5
caltech,767,0,EfficientBFS,traditional,False,ub2,d,6.0,0.95,CalTechMaximization,334.6860300087528,5.80060697008937,142.0815234184265,1,1,5
caltech,767,0,EfficientBFS,volume_biased,False,ub2,d,6.0,0.95,CalTechMaximization,334.6860300087528,5.80060697008937,123.13184762001038,1,1,5
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,7.0,0.95,CalTechMaximization,351.66209690815094,6.0501380230038535,966.310314655304,11,1,5
caltech,767,0,EfficientBFS,injection,False,ub2,d,7.0,0.95,CalTechMaximization,351.66209690815094,6.0501380230038535,581.3375980854034,9,1,5
caltech,767,0,EfficientBFS,probing,False,ub2,d,7.0,0.95,CalTechMaximization,351.66209690815094,6.0501380230038535,1287.9872796535492,11,1,5
caltech,767,0,EfficientBFS,traditional,False,ub2,d,7.0,0.95,CalTechMaximization,351.66209690815094,6.0501380230038535,736.2150855064392,11,1,5
caltech,767,0,EfficientBFS,volume_biased,False,ub2,d,7.0,0.95,CalTechMaximization,351.66209690815094,6.0501380230038535,976.1409077644348,11,1,5
