Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,0.8649306297302246,1,1.0,False,6
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,0.9257798194885254,1,1.0,False,6
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,0.8097436428070068,1,1.0,False,6
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,0.9279518127441406,1,1.0,False,7
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,0.8954079151153564,1,1.0,False,7
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,0.9734647274017334,1,1.0,False,7
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,1.0360703468322754,1,1.0,False,7
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,1.4818506240844727,1,1.0,False,8
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,1.3510606288909912,1,1.0,False,8
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,1.68967604637146,1,1.0,False,8
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,1.763080358505249,1,1.0,False,8
